sample_id,model,ALGORITHM,FEEDBACK,OSC KEY SYNC,LFO SPEED,LFO DELAY,LFO PM DEPTH,LFO AM DEPTH,LFO KEY SYNC,LFO WAVE,P MODE SENS.,PITCH EG RATE 1,PITCH EG RATE 2,PITCH EG RATE 3,PITCH EG RATE 4,PITCH EG LEVEL 1,PITCH EG LEVEL 2,PITCH EG LEVEL 3,PITCH EG LEVEL 4,OP1 EG RATE 1,OP1 EG RATE 2,OP1 EG RATE 3,OP1 EG RATE 4,OP1 EG LEVEL 1,OP1 EG LEVEL 2,OP1 EG LEVEL 3,OP1 EG LEVEL 4,OP1 OUTPUT LEVEL,OP1 MODE,OP1 F COARSE,OP1 F FINE,OP1 OSC DETUNE,OP1 BREAK POINT,OP1 L SCALE DEPTH,OP1 R SCALE DEPTH,OP1 L KEY SCALE,OP1 R KEY SCALE,OP1 RATE SCALING,OP1 A MOD SENS.,OP1 KEY VELOCITY,OP2 EG RATE 1,OP2 EG RATE 2,OP2 EG RATE 3,OP2 EG RATE 4,OP2 EG LEVEL 1,OP2 EG LEVEL 2,OP2 EG LEVEL 3,OP2 EG LEVEL 4,OP2 OUTPUT LEVEL,OP2 MODE,OP2 F COARSE,OP2 F FINE,OP2 OSC DETUNE,OP2 BREAK POINT,OP2 L SCALE DEPTH,OP2 R SCALE DEPTH,OP2 L KEY SCALE,OP2 R KEY SCALE,OP2 RATE SCALING,OP2 A MOD SENS.,OP2 KEY VELOCITY,OP3 EG RATE 1,OP3 EG RATE 2,OP3 EG RATE 3,OP3 EG RATE 4,OP3 EG LEVEL 1,OP3 EG LEVEL 2,OP3 EG LEVEL 3,OP3 EG LEVEL 4,OP3 OUTPUT LEVEL,OP3 MODE,OP3 F COARSE,OP3 F FINE,OP3 OSC DETUNE,OP3 BREAK POINT,OP3 L SCALE DEPTH,OP3 R SCALE DEPTH,OP3 L KEY SCALE,OP3 R KEY SCALE,OP3 RATE SCALING,OP3 A MOD SENS.,OP3 KEY VELOCITY,OP4 EG RATE 1,OP4 EG RATE 2,OP4 EG RATE 3,OP4 EG RATE 4,OP4 EG LEVEL 1,OP4 EG LEVEL 2,OP4 EG LEVEL 3,OP4 EG LEVEL 4,OP4 OUTPUT LEVEL,OP4 MODE,OP4 F COARSE,OP4 F FINE,OP4 OSC DETUNE,OP4 BREAK POINT,OP4 L SCALE DEPTH,OP4 R SCALE DEPTH,OP4 L KEY SCALE,OP4 R KEY SCALE,OP4 RATE SCALING,OP4 A MOD SENS.,OP4 KEY VELOCITY,OP5 EG RATE 1,OP5 EG RATE 2,OP5 EG RATE 3,OP5 EG RATE 4,OP5 EG LEVEL 1,OP5 EG LEVEL 2,OP5 EG LEVEL 3,OP5 EG LEVEL 4,OP5 OUTPUT LEVEL,OP5 MODE,OP5 F COARSE,OP5 F FINE,OP5 OSC DETUNE,OP5 BREAK POINT,OP5 L SCALE DEPTH,OP5 R SCALE DEPTH,OP5 L KEY SCALE,OP5 R KEY SCALE,OP5 RATE SCALING,OP5 A MOD SENS.,OP5 KEY VELOCITY,OP6 EG RATE 1,OP6 EG RATE 2,OP6 EG RATE 3,OP6 EG RATE 4,OP6 EG LEVEL 1,OP6 EG LEVEL 2,OP6 EG LEVEL 3,OP6 EG LEVEL 4,OP6 OUTPUT LEVEL,OP6 MODE,OP6 F COARSE,OP6 F FINE,OP6 OSC DETUNE,OP6 BREAK POINT,OP6 L SCALE DEPTH,OP6 R SCALE DEPTH,OP6 L KEY SCALE,OP6 R KEY SCALE,OP6 RATE SCALING,OP6 A MOD SENS.,OP6 KEY VELOCITY
76,GT,0.032258064,1.0,1.0,0.343434,0.333333,0.171717,0.717172,0.0,0.8,0.14285715,0.949495,0.676768,0.959596,0.606061,0.50505,0.50505,0.50505,0.50505,0.545455,0.333333,0.20202,0.424242,1.0,0.929293,0.848485,0.0,1.0,1.0,0.0,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.2857143,0.0,0.14285715,1.0,0.222222,0.0,0.414141,1.0,0.979798,0.939394,0.0,0.737374,0.0,0.06451613,0.0,0.071428575,0.0,0.0,0.040404,0.0,0.0,0.14285715,0.0,0.0,0.535354,0.333333,0.20202,0.464646,1.0,0.929293,0.848485,0.0,1.0,1.0,0.0,0.292929,0.0,0.0,0.0,0.0,0.0,0.0,0.2857143,0.0,0.0,1.0,0.464646,0.0,0.282828,1.0,0.939394,0.878788,0.0,0.848485,0.0,0.06451613,0.0,0.35714287,0.545455,0.0,1.0,0.0,0.0,0.14285715,0.0,0.14285715,1.0,0.464646,0.0,0.282828,1.0,0.939394,0.878788,0.0,0.69697,0.0,0.06451613,0.0,1.0,0.252525,0.0,0.242424,0.0,0.0,0.14285715,0.0,0.0,1.0,0.464646,0.0,0.282828,1.0,0.939394,0.878788,0.0,0.50505,0.0,0.32258064,0.0,1.0,0.161616,0.0,0.242424,0.0,0.0,0.14285715,0.0,0.0
76,Flow,0.032258064,1.0,1.0,0.3661394,0.3058591,0.23829705,0.69218737,0.0,0.8,0.2857143,0.88801086,0.76503265,0.84598166,0.55120873,0.5007132,0.50136733,0.5181695,0.49838018,0.58509195,0.38166428,0.1509425,0.40984,1.0,1.0,0.86196303,0.0,1.0,1.0,0.0,0.15824437,0.0,0.2350508,0.0,0.0,0.0,0.0,0.2857143,0.0,0.14285715,0.99960995,0.28406215,0.012341917,0.29335892,1.0,1.0,0.99866354,0.0,0.7873926,0.0,0.06451613,0.0,0.071428575,0.34662902,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.6588943,0.34556413,0.1722973,0.3837669,1.0,0.9859098,0.9681378,0.0,0.97730553,1.0,0.0,0.13369405,0.0,0.02780366,0.0,0.0,0.0,0.0,0.2857143,0.0,0.0,0.8354324,0.40859997,0.07049364,0.3035239,1.0,1.0,0.95513505,0.0,0.84015834,0.0,0.06451613,0.0,0.35714287,0.54021025,0.0,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.91922677,0.49260247,0.050040543,0.36240792,1.0,1.0,0.9636457,0.0,0.74231076,0.0,0.06451613,0.0,1.0,0.38865292,0.0,0.05274141,0.0,0.0,0.14285715,0.0,0.0,0.9188133,0.45551014,0.11686635,0.33395326,1.0,1.0,1.0,0.0,0.7168604,0.0,0.32258064,0.032157183,1.0,0.4147719,0.0,0.14097095,0.0,0.0,0.14285715,0.0,0.0
76,IS,0.032258064,1.0,1.0,0.35838592,0.30036375,0.16363488,0.4093288,0.0,0.8,0.14285715,0.77790445,0.59496963,0.7591076,0.53227603,0.5038635,0.50505006,0.5050501,0.5050501,0.5520188,0.35042152,0.17399739,0.4074781,0.99998057,1.0,0.7840425,2.9017112e-08,0.9921102,1.0,0.0,0.16480479,0.0,0.025917752,0.0,0.0,0.0,0.0,0.2857143,0.0,0.14285715,0.94044703,0.14480181,0.0,0.26414484,0.9748345,0.95889205,0.92195064,1.7062003e-09,0.7199223,0.0,0.06451613,0.0,0.071428575,0.14673334,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.52740115,0.32286486,0.110923685,0.39163306,0.9982971,1.0,0.8567664,6.1640996e-08,0.98000443,1.0,0.0,0.1943061,0.0,0.14070547,0.0,0.0,0.0,0.0,0.2857143,0.0,0.0,0.89406437,0.3722313,0.0,0.22984512,0.98253155,0.9095348,0.83403355,0.0,0.84153575,0.0,0.06451613,0.0,0.35714287,0.56448025,0.0,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.86124575,0.34002566,0.0,0.26587653,0.9765932,0.8647571,0.7348467,0.0,0.7428721,0.0,0.06451613,0.0,1.0,0.3179865,0.0,0.18080038,0.0,0.0,0.14285715,0.0,0.0,0.8725729,0.32864812,0.036364246,0.31225008,0.98097926,0.8966745,0.75973475,0.0,0.56230474,0.0,0.32258064,0.0,1.0,0.3109085,0.0,0.2196439,0.0,0.0,0.14285715,0.0,0.0
76,IS2noITF,0.032258064,1.0,1.0,0.3206567,0.25856036,0.15899624,0.61154616,0.0,0.8,0.14285715,0.88081896,0.65925276,0.8589266,0.5954182,0.50505006,0.50505006,0.5050499,0.50504994,0.5477516,0.3033997,0.15797749,0.40401992,0.99999964,0.96504676,0.82727015,7.635886e-08,0.9948353,1.0,0.0,0.2144731,0.0,0.12423842,0.0,0.0,0.0,0.0,0.2857143,0.0,0.14285715,0.8924465,0.23469025,0.0,0.32423624,1.0,0.9415923,0.94087654,0.0,0.7103373,0.0,0.06451613,0.04605024,0.071428575,0.002085224,0.0,0.013983542,0.0,0.0,0.14285715,0.0,0.0,0.53729874,0.35054988,0.14893255,0.39002118,0.99992055,0.9274618,0.77101445,1.02797486e-07,0.94724804,1.0,0.0,0.2236991,0.0,0.048972145,0.09210009,0.032490917,0.0,0.0,0.2857143,0.0,0.0,0.95297706,0.55696714,0.0,0.28175697,0.9689298,0.8767926,0.8222957,0.0,0.8104665,0.0,0.06451613,0.04111837,0.35714287,0.5855496,0.0,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.94386816,0.60176057,0.057109386,0.27148393,0.996495,0.97733915,0.8119381,3.62536e-07,0.7116183,0.0,0.06451613,0.0,1.0,0.21568583,0.01164326,0.22631311,0.0,0.0,0.14285715,0.0,0.0,0.89254934,0.57039994,0.06304724,0.3346346,0.9942175,0.98745584,0.722823,0.0,0.56495625,0.0,0.32258064,0.0,1.0,0.16868682,0.006996708,0.2798561,0.0,0.0,0.14285715,0.0,0.0
76,IS2,0.032258064,1.0,1.0,0.31425685,0.26105416,0.16245365,0.6240788,0.0,0.8,0.14285715,0.8884632,0.6544342,0.85709643,0.58783454,0.50505376,0.50505,0.50505,0.50505,0.5355873,0.29741156,0.1549225,0.39907256,0.9999999,0.9545759,0.84195656,1.32e-07,0.9962173,1.0,0.0,0.21907063,0.0,0.12393469,0.0,0.0,0.0,0.0,0.2857143,0.0,0.14285715,0.89247614,0.23555471,0.0,0.31427345,1.0,0.93756765,0.95352674,0.0,0.70825243,0.0,0.06451613,0.040580917,0.071428575,0.0,0.0,0.011826976,0.0,0.0,0.14285715,0.0,0.0,0.5314902,0.35465583,0.14297687,0.38979474,1.0,0.9192153,0.7798184,0.0,0.9484719,1.0,0.0,0.2155243,0.0,0.04650874,0.08143875,0.010600695,0.0,0.0,0.2857143,0.0,0.0,0.9549411,0.5528907,0.0,0.2764908,0.97300994,0.8637686,0.8128828,2.01e-07,0.8038813,0.0,0.06451613,0.03459008,0.35714287,0.6074145,0.0,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.9518086,0.6194217,0.048051648,0.2665989,0.99807566,0.9855186,0.8189657,1.29e-08,0.7022372,0.0,0.06451613,0.0,1.0,0.22325116,0.004531266,0.23870064,0.0,0.0,0.14285715,0.0,0.0,0.90036273,0.5787962,0.06732484,0.33946595,0.99607354,0.9871411,0.72523344,4.91e-08,0.55018973,0.0,0.32258064,0.0,1.0,0.17607015,0.0,0.2978057,0.0,0.0,0.14285715,0.0,0.0
146,GT,0.9677419,0.71428573,0.0,0.343434,0.333333,0.0,0.0,0.0,0.8,0.2857143,0.949495,0.676768,0.959596,0.606061,0.50505,0.50505,0.50505,0.50505,0.969697,0.30303,0.252525,0.40404,1.0,0.808081,0.0,0.0,1.0,0.0,0.032258064,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,0.42857146,0.969697,0.30303,0.252525,0.40404,1.0,0.808081,0.0,0.0,0.868687,0.0,0.032258064,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,0.42857146,0.969697,0.30303,0.252525,0.40404,1.0,0.808081,0.0,0.0,0.888889,0.0,0.032258064,0.0,0.071428575,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,0.42857146,0.969697,0.30303,0.252525,0.40404,1.0,0.808081,0.0,0.0,0.979798,0.0,0.032258064,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,0.0,0.969697,0.828283,0.252525,0.40404,1.0,0.808081,0.0,0.0,1.0,0.0,0.032258064,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,1.0,0.969697,0.30303,0.252525,0.40404,1.0,0.808081,0.0,0.0,0.656566,0.0,0.16129032,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,1.0
146,Flow,0.9677419,0.5714286,0.0,0.30342495,0.34712094,0.0,0.0,0.0,0.8,0.2857143,0.84062314,0.69721735,0.9360064,0.63317084,0.5165935,0.5296535,0.54001194,0.52652586,0.9282906,0.30695468,0.17288314,0.48698932,1.0,0.80911434,0.0,0.0,1.0,0.0,0.032258064,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,0.42857146,0.9029726,0.4532986,0.24594077,0.47278544,1.0,0.76415116,0.0,0.0,0.72789705,0.0,0.032258064,0.0,0.5,0.13918644,0.0,0.05145961,0.0,0.0,0.42857146,0.0,0.42857146,0.92254126,0.35379696,0.23120746,0.41091686,1.0,0.8886373,0.0,0.0,0.99695945,0.0,0.032258064,0.0,0.5,0.12534013,0.0,0.0,0.0,0.0,0.42857146,0.0,0.42857146,0.932804,0.3401829,0.23829412,0.41101664,1.0,0.7493289,0.0,0.0,0.8427777,0.0,0.032258064,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,0.5714286,0.9420788,0.49647045,0.2651778,0.3651559,1.0,0.96750206,0.0,0.0,0.89751875,0.0,0.032258064,0.0,0.5,0.106233776,0.0,0.009465575,0.0,0.0,0.42857146,0.0,1.0,0.91375923,0.47433025,0.2464756,0.395978,0.9712492,0.89059484,0.0,0.0,0.7214647,0.0,0.16129032,0.0,0.5,0.13280253,0.0,0.092172414,0.0,0.0,0.42857146,0.0,1.0
146,IS,0.9677419,0.71428573,0.0,0.3162799,0.28669295,0.0052648745,0.01081499,0.0,0.8,0.2857143,0.9338226,0.7080737,0.9390517,0.6169059,0.50428975,0.50505006,0.5050502,0.5050501,0.9344265,0.35603657,0.24502178,0.425944,1.0,0.7979503,0.0035097788,2.8694442e-08,0.9921887,0.0,0.032258064,0.0,0.5,0.026349604,0.01629217,0.0,0.0,0.0,0.42857146,0.0,0.42857146,0.96229714,0.33625993,0.23524246,0.39022458,1.0,0.8987881,0.026863066,0.0,0.86905956,0.0,0.032258064,0.0,0.5,0.0,0.0056009158,0.0,0.0,0.0,0.42857146,0.0,0.42857146,0.93540376,0.35347292,0.21952488,0.38701743,0.9928109,0.80367863,0.0,6.332497e-08,0.92202693,0.0,0.032258064,0.017859036,0.071428575,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,0.42857146,1.0,0.3730077,0.24774998,0.43976134,0.98078954,0.7728357,0.0,0.0,0.95764005,0.0,0.032258064,0.0076643224,0.5,0.0,0.001503633,0.0,0.0,0.0,0.42857146,0.0,0.0,0.9185521,0.78607225,0.16339132,0.36296657,0.9862515,0.8395297,0.0,0.0,0.9756258,0.0,0.032258064,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.42857146,0.0,1.0,0.92429906,0.34525314,0.28248566,0.3734045,1.0,0.7817031,0.0,0.0,0.69554764,0.0,0.16129032,0.0,0.5,0.011714743,0.04178389,0.04294526,0.0,0.0,0.42857146,0.0,1.0
146,IS2noITF,0.9677419,0.71428573,0.0,0.32539067,0.31576908,0.0,0.016140362,0.0,0.8,0.2857143,0.98113364,0.71907693,0.981322,0.6425469,0.5050496,0.50505,0.5050499,0.50504994,0.93477845,0.28316805,0.18518505,0.40356416,0.9999997,0.812746,0.0,7.5105696e-08,1.0,0.0,0.032258064,0.006030315,0.5,0.02122637,0.02435544,0.005379464,0.0,0.0,0.42857146,0.0,0.42857146,0.980021,0.2752554,0.22176957,0.45679364,0.98946345,0.83690894,0.0,0.0,0.86035883,0.0,0.032258064,0.0,0.5,0.0,0.0,0.011231581,0.0,0.0,0.42857146,0.0,0.42857146,0.95603794,0.2560238,0.21613556,0.40551385,1.0,0.817415,0.0,9.845163e-08,0.88114226,0.0,0.032258064,0.0042709988,0.071428575,0.04766611,0.0,0.021104956,0.0,0.0,0.42857146,0.0,0.42857146,0.9995193,0.36382782,0.19543529,0.4341066,0.9896836,0.84234506,0.0,0.0,0.948368,0.0,0.032258064,0.0,0.5,0.010374158,0.0,0.0,0.0,0.0,0.42857146,0.0,0.0,0.9415767,0.6491945,0.20362833,0.3632602,0.99395823,0.8678878,0.0,3.4933458e-07,1.0,0.0,0.032258064,0.0,0.5,0.061625272,0.0,0.0,0.0,0.0,0.42857146,0.0,1.0,0.9893601,0.41079414,0.3383033,0.35167524,0.9950309,0.8533643,0.0,8.036965e-08,0.671198,0.0,0.16129032,0.0002236065,0.5,0.058824603,0.015427944,0.035308037,0.0,0.0,0.42857146,0.0,1.0
146,IS2,0.9677419,0.71428573,0.0,0.32049295,0.32747164,0.0,0.005335568,0.0,0.8,0.2857143,0.9882348,0.72245944,0.98980415,0.6364101,0.50504565,0.50504994,0.5050499,0.50505006,0.94168407,0.2569708,0.1767508,0.39965087,0.9999998,0.7910044,0.0,1.83e-07,1.0,0.0,0.032258064,0.004957128,0.5,0.007149472,0.0315522,0.000315429,0.0,0.0,0.42857146,0.0,0.42857146,0.981455,0.24280824,0.2200005,0.4499036,0.9894566,0.8263681,0.0,6.86e-08,0.85402733,0.0,0.032258064,0.0,0.5,0.0,0.0,0.012261719,0.0,0.0,0.42857146,0.0,0.42857146,0.97333205,0.2418576,0.21794389,0.41303647,1.0,0.80572164,0.0,0.0,0.88829607,0.0,0.032258064,0.0,0.071428575,0.043167435,0.00680223,0.011742717,0.0,0.0,0.42857146,0.0,0.42857146,1.0,0.34119785,0.19226387,0.4301549,0.9905348,0.82765055,0.0,2.31e-08,0.9465528,0.0,0.032258064,0.0,0.5,0.001029187,0.0,0.0,0.0,0.0,0.42857146,0.0,0.0,0.956577,0.663764,0.20746227,0.36123815,0.9917368,0.85107595,0.0,1.76e-07,1.0,0.0,0.032258064,0.0,0.5,0.05548581,0.0,0.0,0.0,0.0,0.42857146,0.0,1.0,0.9983999,0.4238021,0.35082656,0.35062897,0.99493355,0.8455374,0.0,0.0,0.6602734,0.0,0.16129032,0.0,0.5,0.048565406,0.014513883,0.028053641,0.0,0.0,0.42857146,0.0,1.0
