system,dataset,mean,ci_halfwidth,n_listeners,n_stimuli_per_cell,bootstrap_resamples,provenance
Flow,FM,4.70,0.13,30,3,10000,authors_retained_aggregate_records
Flow,DX7,1.41,0.28,30,3,10000,authors_retained_aggregate_records
Flow,TAL,3.87,0.27,30,3,10000,authors_retained_aggregate_records
InverSynth,FM,4.85,0.25,30,3,10000,authors_retained_aggregate_records
InverSynth,DX7,2.45,0.31,30,3,10000,authors_retained_aggregate_records
InverSynth,TAL,3.37,0.25,30,3,10000,authors_retained_aggregate_records
IS2_no_ITF,FM,4.60,0.18,30,3,10000,authors_retained_aggregate_records
IS2_no_ITF,DX7,3.28,0.22,30,3,10000,authors_retained_aggregate_records
IS2_no_ITF,TAL,3.85,0.19,30,3,10000,authors_retained_aggregate_records
IS2,FM,4.88,0.21,30,3,10000,authors_retained_aggregate_records
IS2,DX7,3.50,0.24,30,3,10000,authors_retained_aggregate_records
IS2,TAL,3.95,0.14,30,3,10000,authors_retained_aggregate_records
UNet_full,FM,4.91,0.12,30,3,10000,authors_retained_aggregate_records
UNet_full,DX7,3.80,0.15,30,3,10000,authors_retained_aggregate_records
UNet_full,TAL,4.10,0.11,30,3,10000,authors_retained_aggregate_records
